Date,Price,Open,High,Low,Vol.,Change %,Daily Return
2024-08-12,132.12,134.26,135.16,131.88,1800000.0,-0.02,-0.014029850746268613
2024-08-09,134.81,134.6,135.05,133.28,1330000.0,0.0033,0.020360278534665488
2024-08-08,134.37,133.59,135.19,133.21,1740000.0,0.015700000000000002,-0.003263852829908709
2024-08-07,132.29,135.7,137.23,132.1,2100000.0,-0.0105,-0.015479645754260751
2024-08-06,133.69,131.37,134.82,130.78,3070000.0,0.0173,0.010582810492100636
2024-08-05,131.42,131.94,133.31,128.23,3560000.0,-0.0345,-0.01697957962450458
2024-08-02,136.12,141.49,141.49,135.8,3540000.0,-0.054000000000000006,0.03576320194795324
2024-08-01,143.89,151.73,152.64,142.34,3250000.0,-0.0496,0.05708198648251539
2024-07-31,151.4,151.96,152.87,150.97,2029999.9999999998,-0.005600000000000001,0.052192647161025896
2024-07-30,152.25,150.74,152.65,149.32,2390000.0,0.021400000000000002,0.0056142668428005305
2024-07-29,149.06,149.52,149.86,147.38,1780000.0,-0.002,-0.020952380952380945
2024-07-26,149.36,149.28,150.1,148.41,1800000.0,0.0086,0.0020126123708574806
2024-07-25,148.09,146.17,150.05,145.49,2670000.0,0.0115,-0.008502945902517434
2024-07-24,146.41,143.67,148.93,140.5,4570000.0,0.0063,-0.011344452697683916
2024-07-23,145.5,145.26,147.46,144.84,3690000.0,0.0027,-0.006215422443822116
2024-07-22,145.11,146.21,147.32,144.5,3260000.0,-0.0147,-0.0026804123711339223
2024-07-19,147.27,148.92,149.12,146.3,2560000.0,-0.0097,0.01488525945834196
2024-07-18,148.72,151.77,153.35,147.69,3940000.0,-0.005,0.009845861343111162
2024-07-17,149.47,148.87,151.34,147.44,2930000.0,-0.0006,0.005043033889187809
2024-07-16,149.56,144.64,149.59,144.19,3800000.0,0.0342,0.0006021275172276574
2024-07-15,144.61,140.82,144.64,140.21,3020000.0,0.044800000000000006,-0.03309708478202722
2024-07-12,138.41,139.12,139.47,137.5,1680000.0,-0.0042,-0.042873936795519096
2024-07-11,138.99,137.05,139.07,136.56,1800000.0,0.0174,0.00419044866700391
2024-07-10,136.61,136.19,137.0,135.41,1670000.0,-0.0028000000000000004,-0.01712353406719902
2024-07-09,136.99,135.81,138.93,135.36,2580000.0,0.0087,0.0027816411682892728
2024-07-08,135.81,137.22,138.06,135.5,2300000.0,-0.0014000000000000002,-0.008613767428279462
2024-07-05,136.0,138.38,138.74,135.88,2620000.0,-0.0175,0.001399013327442633
2024-07-03,138.42,140.27,140.67,138.0,1810000.0,-0.0147,0.017794117647058627
2024-07-02,140.48,139.64,140.52,138.73,2020000.0,0.005600000000000001,0.01488224245051284
2024-07-01,139.7,138.8,141.8,138.45,3080000.0,0.009000000000000001,-0.005552391799544476
2024-06-28,138.45,135.39,138.79,134.66,4960000.0,0.033,-0.008947745168217613
2024-06-27,134.03,136.03,136.24,132.92,3540000.0,-0.02,-0.031924882629107865
2024-06-26,136.77,133.71,136.94,133.08,2830000.0,0.014199999999999999,0.02044318436171011
2024-06-25,134.86,137.15,137.65,134.76,1740000.0,-0.020499999999999997,-0.013965050815237245
2024-06-24,137.68,137.04,139.11,135.63,1750000.0,0.0067,0.020910573928518472
2024-06-21,136.77,137.0,137.77,135.21,3150000.0,-0.0098,-0.006609529343404974
2024-06-20,138.13,137.82,138.15,135.84,1810000.0,0.0058,0.009943701104043079
2024-06-18,137.34,137.01,138.21,136.77,1400000.0,0.0018,-0.005719249981901098
2024-06-17,137.1,133.79,137.35,133.5,2049999.9999999998,0.0254,-0.001747487986020202
2024-06-14,133.7,134.03,135.25,133.3,2610000.0,-0.0103,-0.02479941648431805
2024-06-13,135.09,136.31,136.68,134.29,1900000.0,-0.0147,0.010396409872849732
2024-06-12,137.1,137.28,138.99,136.17,2240000.0,0.014499999999999999,0.01487896957583823
2024-06-11,135.14,140.16,140.4,134.55,2440000.0,-0.0409,-0.01429613420860687
2024-06-10,140.9,138.81,141.18,138.32,2540000.0,0.0079,0.042622465591238834
2024-06-07,139.8,135.69,141.0,135.29,2840000.0,0.0252,-0.007806955287437911
2024-06-06,136.37,136.57,138.62,135.87,2380000.0,0.0066,-0.024535050071530784
2024-06-05,135.48,134.82,135.68,133.54,2230000.0,0.0074,-0.006526362103101979
2024-06-04,134.48,135.47,136.55,133.71,1940000.0,-0.019299999999999998,-0.007381163271331537
2024-06-03,137.12,137.43,138.0,134.89,2000000.0,-0.0037,0.019631171921475454
2024-05-31,137.63,136.51,137.76,136.22,4430000.0,0.0106,0.0037193698949824494
2024-05-30,136.18,136.24,136.87,135.12,1710000.0,0.0039000000000000003,-0.010535493715032929
2024-05-29,135.65,134.82,136.19,133.7,1620000.0,-0.0070999999999999995,-0.003891907769129066
2024-05-28,136.62,137.74,138.11,136.23,1660000.0,-0.0073,0.007150755621083693
2024-05-24,137.62,138.05,139.24,137.43,1570000.0,0.0009,0.007319572536963914
